Algorithm,DataType,ArraySize,AverageTimeNs,AverageTimeMs
QuickSort,RANDOM,100,48433,0.048433
MergeSort,RANDOM,100,130100,0.130100
HeapSort,RANDOM,100,123499,0.123499
SelectionSort,RANDOM,100,153991,0.153991
QuickSort,RANDOM,500,342274,0.342274
MergeSort,RANDOM,500,697450,0.697450
HeapSort,RANDOM,500,826008,0.826008
SelectionSort,RANDOM,500,3872250,3.872250
QuickSort,RANDOM,1000,693099,0.693099
MergeSort,RANDOM,1000,1391166,1.391166
HeapSort,RANDOM,1000,1844266,1.844266
SelectionSort,RANDOM,1000,15327674,15.327674
QuickSort,RANDOM,2000,1633591,1.633591
MergeSort,RANDOM,2000,3229300,3.229300
HeapSort,RANDOM,2000,4201717,4.201717
SelectionSort,RANDOM,2000,60428991,60.428991
QuickSort,RANDOM,5000,4217191,4.217191
MergeSort,RANDOM,5000,8461300,8.461300
HeapSort,RANDOM,5000,11742683,11.742683
SelectionSort,RANDOM,5000,374852591,374.852591
QuickSort,RANDOM,10000,9613100,9.613100
MergeSort,RANDOM,10000,17833050,17.833050
HeapSort,RANDOM,10000,25411991,25.411991
SelectionSort,RANDOM,10000,1488047092,1488.047092
QuickSort,SORTED,100,339025,0.339025
MergeSort,SORTED,100,90775,0.090775
HeapSort,SORTED,100,130300,0.130300
SelectionSort,SORTED,100,143658,0.143658
QuickSort,SORTED,500,7982750,7.982750
MergeSort,SORTED,500,520117,0.520117
HeapSort,SORTED,500,883125,0.883125
SelectionSort,SORTED,500,3879641,3.879641
QuickSort,SORTED,1000,33168433,33.168433
MergeSort,SORTED,1000,1176908,1.176908
HeapSort,SORTED,1000,2030608,2.030608
SelectionSort,SORTED,1000,15450775,15.450775
QuickSort,SORTED,2000,132457816,132.457816
MergeSort,SORTED,2000,2464066,2.464066
HeapSort,SORTED,2000,4369174,4.369174
SelectionSort,SORTED,2000,60673824,60.673824
QuickSort,SORTED,5000,834800966,834.800966
MergeSort,SORTED,5000,6962916,6.962916
HeapSort,SORTED,5000,12508666,12.508666
SelectionSort,SORTED,5000,378000908,378.000908
QuickSort,SORTED,10000,3403927408,3403.927408
MergeSort,SORTED,10000,15378675,15.378675
HeapSort,SORTED,10000,28714841,28.714841
